role_id,role_name
1,soundtrack
2,actor
3,miscellaneous
4,actress
5,music department
6,writer
7,director
8,producer
9,make up department
10,composer
11,assistant director
12,camera department
13,editor
14,cinematographer
15,casting director
16,script department
17,art director
18,stunts
19,editorial department
20,costume department
21,animation department
22,art department
23,executive
24,special effects
25,production designer
26,production manager
27,sound department
28,talent agent
29,casting department
30,costume designer
31,visual effects
32,location management
33,set decorator
34,transportation department
35,manager
36,legal
37,publicist
38,assistant
39,production department
40,choreographer
41,electrical department
