title_id,averageRating,numVotes
tt0018251,6,10
tt0022864,5.9,142
tt0027467,7.2,9
tt0032050,6.5,247
tt0036620,6.3,8
tt0041189,6.5,214
tt0045779,7,414
tt0055005,6.2,23
tt0059601,6.5,2014
tt0064242,7.6,38
tt0078095,6.2,39
tt0091970,7.6,1865
tt0096583,8.7,70
tt0101211,6.3,16
tt0105808,6.6,122
tt0110425,5.4,691
tt0138976,8.4,287
tt0143707,6.7,22
tt0148429,4.9,8
tt0177054,7,21
tt0186701,4.9,8
tt0191583,6.4,12
tt0215719,7.9,48
tt0220525,7.2,46
tt0239444,5.9,44
tt0244127,7,26
tt0258293,6.2,253
tt0277160,5.6,8
tt0286565,4.3,11
tt0295970,6.7,37
tt0305472,4.8,2188
tt0319480,4.9,31
tt0324120,4.1,114
tt0328788,7,88
tt0338027,9.8,7
tt0356803,6.4,483
tt0366082,5.7,112
tt0384991,5.7,185
tt0394230,5.9,94
tt0403508,6.5,60110
tt0408133,6.5,23
tt0426590,5.5,17
tt0435827,4.8,11
tt0440437,10,10
tt0445049,7.2,14
tt0477472,5.5,282
tt0491388,7.6,6
tt0519362,8.3,21
tt0542295,4.4,23
tt0551400,7.7,1427
tt0560503,5.5,13
tt0565101,9,10
tt0574310,6,7
tt0597129,7,24
tt0601672,7.4,77
tt0624467,7.7,53
tt0629009,7.3,71
tt0638106,7,8
tt0656261,7.6,118
tt0660869,6.9,345
tt0665436,7.8,63
tt0683784,3.7,17
tt0697378,8.6,8
tt0706474,6.8,22
tt0711051,8.7,14
tt0720170,7.5,1100
tt0743024,6,27
tt0747713,7,63
tt0752261,8.4,426
tt0756830,8.6,574
tt0761476,7.8,200
tt0770819,8.5,10
tt0775456,7.4,54
tt0784733,7.8,21
tt0789357,7,29
tt0798661,7.8,92
tt0812496,4.5,18
tt0821790,4.5,22
tt0835822,8.7,9
tt0845161,7,252
tt0868307,6.2,6
tt0877642,6.9,97
tt0882295,7.1,9
tt0886958,8.3,15
tt0900953,7,12
tt0910335,6.4,10
tt0924390,7.9,37
tt0947542,3.9,14
tt0961503,6,12
tt0966161,6.2,13
tt0980191,7.4,6
tt10014704,7.5,97
tt1003071,4.2,37
tt1010359,4.5,16
tt1022470,7.9,12
tt10435274,6.2,19
tt10467770,8.6,10
tt10516496,5.7,370
tt1077384,9.2,11
tt10877960,6.8,10
tt11037642,7.3,11
tt11085230,6.4,22
tt11133312,8.8,6
tt11394188,6.4,1803
tt1156322,5.5,38
tt1162782,5.5,26
tt1174014,8.4,37
tt1176434,6.7,21
tt11877058,7.5,554
tt1202295,4,20
tt12146130,7.6,120
tt12278870,8.1,18
tt12295046,8.2,171
tt1240882,6.7,19
tt1243434,6.9,39
tt1245168,5,5
tt12633314,8.6,183
tt12719846,7.5,812
tt12839216,9.6,165
tt1288954,5.2,7
tt13020856,3.1,59
tt13217602,7.8,165
tt13369152,7.1,14
tt1350079,7.8,7
tt1362370,8,13
tt13648554,7.6,8
tt13698572,6.3,8
tt1372415,8,107
tt1404981,3.4,16
tt14180740,7.2,42
tt1433517,7.8,8
tt14351914,7.3,9
tt14384450,7.8,30
tt14392996,7.2,59
tt1443373,7.5,13
tt14466394,9.7,1343
tt14499140,7.5,10
tt14647394,7.8,6
tt1466396,8,285
tt1470539,7.7,451
tt1472191,7.4,14
tt14813232,5.2,9
tt1491122,7.5,18
tt1492769,6.3,33
tt1538529,7,39
tt1545976,2.7,362
tt1546800,5.7,6
tt1560707,9.2,5
tt15679700,8.6,7
tt16366698,6.3,6
tt1696631,7.7,8
